sample_id,mouse_id,condition,gene_a,gene_b,gene_c,gene_d
s070,m014,CONTROL,3.772,0.528,11.556,7.119
s071,m015,CONTROL,4.853,3.645,12.905,8.996
s072,m015,control,2.92,1.437,14.604,7.912
s073,m015,Control,4.801,2.612,12.08,5.59
s074,m015,CONTROL,3.556,1.975,11.913,7.956
s075,m015,control ,5.458,3.559,15.056,5.835
s076,m016,CONTROL,4.174,2.616,15.406,6.477
s077,m016,control,4.24,3.204,12.723,7.799
s078,m016,control,5.463,2.023,14.272,8.471
s079,m016,control,5.218,1.639,11.55,5.243
s080,m016,Control,5.431,5.677,14.302,8.096
s081,m017,Control,5.914,2.641,11.619,n.d.
s082,m017,CONTROL,3.874,0.881,,7.709
s083,m017,control ,4.526,1.268,11.712,6.045
s084,m017,control ,3.759,2.785,,6.729
s085,m017,Control,3.743,2.735,13.805,4.594
s086,m018,CONTROL,4.64,2.644,10.974,9.893
s087,m018,control,,,11.816,9.219
s088,m018,Control,4.996,0.487,9.406,7.184
s089,m018,control,4.944,2.952,14.306,8.884
s090,m018,CONTROL,4.126,3.241,10.245,5.385
s091,m019,Control,5.346,3.491,12.363,5.274
s092,m019,control ,5.557,3.051,13.612,5.886
s093,m019,Control,5.677,2.321,,8.365
s094,m019,control ,5.607,,8.798,5.338
s095,m019,control ,6.649,,12.052,5.356
s096,m020,CONTROL,3.708,3.15,13.731,4.123
s097,m020,Control,5.588,2.977,17.672,7.803
s098,m020,Control,4.693,3.271,10.112,5.351
s099,m020,control,5.814,2.426,13.051,6.436
s100,m020,CONTROL,6.292,2.875,,8.149
s101,m021,control ,6.435,2.631,14.085,8.326
s102,m021,CONTROL,2.767,3.302,9.103,7.392
s103,m021,Control,4.616,2.523,11.765,n.d.
s104,m021,control,3.243,1.584,13.112,9.587
s105,m021,control,5.599,3.437,13.234,4.951
s106,m022,control ,4.387,0.546,11.295,4.783
s107,m022,Control,3.687,2.958,10.546,5.278
s108,m022,CONTROL,4.487,5.405,12.826,4.083
s109,m022,control ,7.009,2.607,14.401,8.665
s110,m022,control,5.627,3.489,12.405,6.724
s111,m023,CONTROL,5.343,1.641,10.799,6.939
s112,m023,Control,5.024,2.607,12.973,6.844
s113,m023,Control,3.68,2.139,11.819,7.179
s114,m023,control ,2.878,3.841,9.955,5.647
s115,m023,CONTROL,6.08,2.205,10.649,5.164
s116,m024,CONTROL,6.149,2.805,13.903,8.378
s117,m024,CONTROL,5.966,1.59,10.594,7.377
s118,m024,control ,5.234,5.294,11.741,7.55
s119,m024,CONTROL,5.057,2.461,15.818,n.d.
s120,m024,CONTROL,5.363,4.46,12.433,4.883
s121,m025,Control,5.01,3.656,10.929,4.922
s122,m025,control ,4.628,3.212,9.547,7.809
s123,m025,control,5.465,2.819,13.446,7.206
s124,m025,control,5.545,2.428,10.285,8.497
s125,m025,control,5.004,,11.118,5.588
s126,m026,control ,4.433,1.559,11.344,6.784
s127,m026,Control,4.149,2.857,5.258,7.276
s128,m026,Control,5.211,3.593,9.849,4.866
s129,m026,control,3.569,3.485,9.689,5.482
s130,m026,Control,5.239,4.067,10.726,6.631
s131,m027,control ,4.566,2.222,13.417,4.649
s132,m027,CONTROL,3.989,2.498,10.209,3.345
s133,m027,control ,4.463,3.504,14.88,6.718
s134,m027,CONTROL,,2.747,11.14,6.793
s135,m027,control,5.622,1.644,14.602,7.759
s136,m028,CONTROL,2.842,,9.888,7.862
s137,m028,Control,6.241,2.924,11.691,7.656
s138,m028,CONTROL,2.993,2.657,10.754,7.781
s139,m028,control ,5.835,2.898,13.551,10.328
s140,m028,CONTROL,6.649,4.038,14.129,6.451
s141,m029,control ,4.965,4.242,9.901,7.703
s142,m029,control,3.522,1.552,13.075,n.d.
s143,m029,control ,6.744,2.838,11.271,6.656
s144,m029,control ,5.184,2.061,,8.63
s145,m029,CONTROL,2.39,2.114,12.896,8.681
s146,m030,CONTROL,6.536,2.069,,7.315
s147,m030,Control,2.249,4.002,11.506,9.862
s148,m030,CONTROL,5.297,2.136,9.434,7.608
s149,m030,control ,4.475,2.041,14.072,6.642
s150,m030,Control,5.041,2.576,13.837,8.673
s151,m031,treatment ,4.068,2.617,9.976,10.282
s152,m031,treatment ,6.337,2.413,11.145,n.d.
s153,m031,treatment ,7.436,1.767,9.351,9.616
s154,m031,Treatment,5.468,4.113,13.58,5.463
s155,m031,treatment,6.277,2.743,11.379,7.954
s156,m032,treatment ,5.931,3.818,14.406,6.315
s157,m032,TREATMENT,5.889,1.466,13.616,8.347
s158,m032,treatment,6.538,2.706,13.481,8.945
s159,m032,Treatment,5.846,3.166,10.962,7.016
s160,m032,Treatment,6.998,2.87,11.433,8.405
s161,m033,treatment ,5.752,3.912,12.792,7.186
s162,m033,Treatment,7.596,3.101,,6.306
s163,m033,TREATMENT,7.545,3.705,11.977,4.024
s164,m033,TREATMENT,4.922,3.049,8.18,8.913
s165,m033,treatment ,6.257,3.136,9.84,5.935
s166,m034,Treatment,5.654,2.837,11.425,7.076
s167,m034,treatment ,5.881,-0.021,9.691,6.512
s168,m034,TREATMENT,,2.648,11.515,7.733
s169,m034,TREATMENT,7.003,3.078,14.397,10.094
s170,m034,treatment,6.001,1.032,13.911,6.008
s171,m035,treatment ,6.24,2.459,10.603,7.402
s172,m035,TREATMENT,8.04,2.323,13.744,4.396
s173,m035,TREATMENT,6.697,3.758,11.768,8.904
s174,m035,TREATMENT,7.13,5.246,8.427,6.142
s175,m035,Treatment,7.476,1.871,16.842,7.638
s176,m036,treatment,5.6,3.563,12.508,6.44
s177,m036,treatment ,8.124,4.633,12.418,10.457
s178,m036,treatment,4.621,3.658,10.497,9.636
s179,m036,treatment,7.736,2.77,12.383,9.12
s180,m036,TREATMENT,7.864,2.44,9.894,7.868
s181,m037,TREATMENT,7.994,1.466,10.637,8.248
s182,m037,TREATMENT,6.888,1.527,13.382,8.018
s183,m037,treatment ,7.816,1.689,10.157,8.826
s184,m037,treatment,6.994,3.194,10.872,7.15
s185,m037,TREATMENT,6.314,4.096,7.006,9.344
s186,m038,TREATMENT,7.432,3.646,,8.55
s187,m038,treatment ,6.114,1.604,12.705,7.064
s188,m038,treatment,6.696,3.73,10.804,7.781
s189,m038,treatment ,6.817,3.451,8.803,5.682
s190,m038,treatment ,6.34,3.17,12.738,6.893
s191,m039,treatment ,3.595,2.861,10.936,7.26
s192,m039,TREATMENT,5.419,3.64,12.528,8.562
s193,m039,treatment,,3.8,13.077,5.913
s194,m039,treatment ,,3.079,15.16,6.977
s195,m039,Treatment,,0.87,10.549,8.38
s196,m040,treatment,6.24,3.946,11.364,9.612
s197,m040,Treatment,5.707,2.53,12.262,8.167
s198,m040,Treatment,4.206,2.418,8.553,6.982
s199,m040,TREATMENT,3.946,1.3,,10.741
s200,m040,Treatment,,,10.113,6.937
s201,m041,Treatment,6.921,3.784,12.811,4.258
s202,m041,Treatment,6.882,3.21,12.455,8.755
s203,m041,Treatment,7.186,2.124,12.556,7.336
s204,m041,Treatment,6.409,,10.683,6.5
s205,m041,treatment ,6.2,4.366,8.324,7.877
s206,m042,treatment ,4.75,2.678,10.903,5.697
s207,m042,treatment ,6.429,3.732,15.004,8.523
s208,m042,treatment,5.801,3.226,9.667,6.046
s209,m042,TREATMENT,6.296,3.115,12.424,6.263
s210,m042,treatment,4.36,3.178,14.146,5.819
s211,m043,treatment,6.853,2.438,9.236,8.983
s212,m043,treatment,6.575,2.084,9.621,9.165
s213,m043,TREATMENT,5.685,3.227,11.269,8.894
s214,m043,Treatment,4.267,2.796,11.542,8.0
s215,m043,Treatment,4.811,4.223,11.848,8.341
s216,m044,Treatment,6.208,4.157,11.55,7.793
s217,m044,Treatment,4.394,2.654,12.966,6.767
s218,m044,TREATMENT,5.985,2.794,8.42,8.706
s219,m044,Treatment,6.45,2.693,10.898,7.6
s220,m044,TREATMENT,6.781,3.64,10.719,7.253
s221,m045,treatment ,6.893,1.645,10.029,8.069
s222,m045,treatment,4.594,3.222,9.813,5.795
s223,m045,TREATMENT,5.091,,,8.511
s224,m045,treatment ,6.407,2.127,11.018,7.639
s225,m045,Treatment,6.067,1.52,14.979,5.444
s226,m046,treatment ,6.931,,13.674,5.317
s227,m046,treatment,3.746,3.93,9.172,6.384
s228,m046,TREATMENT,6.857,3.233,13.674,8.384
s229,m046,TREATMENT,5.604,2.798,13.015,8.536
s230,m046,treatment,7.028,2.117,9.343,5.524
s231,m047,TREATMENT,,2.592,13.357,8.889
s232,m047,TREATMENT,5.389,3.344,9.541,6.415
s233,m047,treatment ,5.33,1.997,12.629,5.918
s234,m047,treatment,6.086,2.668,13.109,8.535
s235,m047,Treatment,5.477,3.782,12.482,6.081
s236,m048,Treatment,5.553,0.441,9.689,6.832
s237,m048,Treatment,4.627,2.615,12.46,5.69
s238,m048,Treatment,6.422,0.938,12.616,6.55
s239,m048,treatment ,7.273,3.429,13.501,7.861
s240,m048,treatment ,6.509,2.579,12.444,7.269
s241,m049,treatment ,4.643,2.69,13.115,7.579
s242,m049,Treatment,6.481,2.406,12.301,7.434
s243,m049,treatment ,4.62,4.725,10.786,6.892
s244,m049,treatment,6.192,3.293,12.185,7.725
s245,m049,treatment ,8.5,3.126,13.627,7.251
s246,m050,Treatment,6.495,3.912,9.537,3.447
s247,m050,treatment,7.667,4.318,9.768,4.984
s248,m050,Treatment,6.375,3.527,13.043,7.423
s249,m050,TREATMENT,6.956,3.718,13.918,6.417
s250,m050,Treatment,6.993,2.863,10.282,9.653
s251,m051,treatment,7.741,3.618,13.499,6.157
s252,m051,Treatment,6.304,3.628,8.836,6.42
s253,m051,treatment,7.121,2.794,11.365,8.197
s254,m051,treatment,6.297,,11.106,8.051
s255,m051,Treatment,5.369,3.343,8.47,9.566
s256,m052,Treatment,5.755,1.98,10.824,8.478
s257,m052,TREATMENT,4.647,2.847,,6.318
s258,m052,TREATMENT,4.153,3.169,13.322,8.183
s259,m052,TREATMENT,6.781,5.776,12.26,8.196
s260,m052,treatment ,4.777,1.586,15.4,10.768
s261,m053,treatment,5.13,2.236,12.265,5.544
s262,m053,TREATMENT,5.333,3.77,11.817,6.222
s263,m053,treatment ,7.087,1.787,11.851,8.863
s264,m053,TREATMENT,6.559,3.112,12.729,5.963
s265,m053,treatment,5.562,-0.027,11.306,7.226
s266,m054,treatment ,5.945,3.07,12.27,9.813
s267,m054,Treatment,6.918,2.28,12.391,7.817
s268,m054,Treatment,5.848,1.175,9.075,8.061
s269,m054,treatment,5.834,2.204,11.94,8.253
s270,m054,Treatment,7.936,2.873,11.428,7.817
s271,m055,Treatment,7.035,1.845,12.489,5.728
s272,m055,TREATMENT,5.522,5.088,11.756,6.365
s273,m055,treatment ,6.568,2.162,12.585,5.358
s274,m055,treatment ,5.639,3.484,7.39,8.524
s275,m055,Treatment,7.341,2.914,13.33,5.984
s276,m056,treatment,5.996,2.721,11.598,9.491
s277,m056,TREATMENT,6.345,3.04,11.936,8.088
s278,m056,TREATMENT,4.167,2.144,13.825,7.032
s279,m056,treatment ,6.369,-0.342,9.005,n.d.
s280,m056,TREATMENT,5.217,2.249,10.758,6.25
s281,m057,treatment,,4.161,14.004,7.34
s282,m057,treatment,5.06,5.205,10.367,9.607
s283,m057,treatment ,,1.952,11.405,6.522
s284,m057,treatment,4.553,3.191,10.408,8.602
s285,m057,treatment,6.108,2.882,11.467,7.31
s286,m058,treatment ,8.524,1.728,9.474,6.872
s287,m058,Treatment,4.875,1.453,10.732,6.624
s288,m058,treatment,6.361,1.563,9.05,8.785
s289,m058,treatment,4.627,3.811,9.723,5.746
s290,m058,TREATMENT,6.908,3.878,5.825,8.692
s291,m059,Treatment,5.576,3.815,13.28,7.863
s292,m059,treatment,6.709,,10.686,5.817
s293,m059,treatment ,6.621,2.562,10.34,10.554
s294,m059,treatment ,5.665,1.831,5.371,8.571
s295,m059,treatment ,,3.31,10.066,7.453
s296,m060,treatment ,5.89,3.567,11.101,6.35
s297,m060,TREATMENT,7.03,1.875,13.368,5.507
s298,m060,treatment ,3.781,2.148,12.596,8.993
s299,m060,treatment ,6.231,0.223,13.09,5.161
s300,m060,treatment,5.215,4.494,14.133,5.763
